data,mes,ano,plantada,colhida,producao,rendimento
2020-01-01,1,2020,5500482,5500482,19800869,3600
2020-02-01,2,2020,5501182,5501182,20450310,3717
2020-03-01,3,2020,5504222,5504222,20806623,3780
2020-04-01,4,2020,5505872,5505872,20745400,3768
2020-05-01,5,2020,5503500,5503500,20754000,3771
2020-06-01,6,2020,5503000,5503000,20749200,3771
2020-07-01,7,2020,5503200,5503200,20813000,3782
2020-08-01,8,2020,5505000,5505000,20755300,3770
2020-09-01,9,2020,5511200,5511200,20773900,3769
2020-10-01,10,2020,5512600,5512600,20842400,3781
2020-11-01,11,2020,5512200,5512200,20841100,3781
2020-12-01,12,2020,5516700,5516700,20871900,3783
2021-01-01,1,2021,5617100,5617100,20500700,3650
2021-02-01,2,2021,5616300,5616300,20449000,3641
2021-03-01,3,2021,5620500,5620500,20196400,3593
2021-04-01,4,2021,5622500,5622500,19890100,3538
2021-05-01,5,2021,5623600,5623600,19887300,3536
2021-06-01,6,2021,5629600,5629600,19873500,3530
2021-07-01,7,2021,5634900,5634900,19894400,3531
2021-08-01,8,2021,5629100,5629100,19854400,3527
2021-09-01,9,2021,5629100,5629100,19853900,3527
2021-10-01,10,2021,5629100,5629100,19853900,3527
2021-11-01,11,2021,5629000,5629000,19854000,3527
2021-12-01,12,2021,5629000,5629000,19854000,3527
2022-01-01,1,2022,5728800,5728800,13165100,2298
2022-02-01,2,2022,5691600,5691600,11764900,2067
2022-03-01,3,2022,5698769,5698769,11702387,2053
2022-04-01,4,2022,5702400,5702400,11967800,2099
2022-05-01,5,2022,5704200,5704200,12170100,2134
2022-06-01,6,2022,5702200,5702200,12189300,2138
2022-07-01,7,2022,5705900,5705900,12218100,2141
2022-08-01,8,2022,5720500,5720500,12193600,2132
2022-09-01,9,2022,5720696,5720696,12185395,2130
2022-10-01,10,2022,5720696,5720696,12185395,2130
2022-11-01,11,2022,5720696,5720696,12185395,2130
2022-12-01,12,2022,5720696,5720696,12185395,2130
2023-01-01,1,2023,5788000,5788000,20859100,3604
2023-02-01,2,2023,5803749,5803749,21036197,3625
2023-03-01,3,2023,5816700,5816700,22322000,3838
2023-04-01,4,2023,5815800,5815800,22517400,3872
2023-05-01,5,2023,5832400,5832400,22479100,3854
2023-06-01,6,2023,5832400,5832400,22479100,3854
2023-07-01,7,2023,5834700,5834700,22544500,3864
2023-08-01,8,2023,5841400,5841400,22544900,3860
2023-09-01,9,2023,5832500,5832500,22505600,3859
2023-10-01,10,2023,5831500,5831500,22485000,3856
2023-11-01,11,2023,5831500,5831500,22511700,3860
2023-12-01,12,2023,5834000,5834000,22455000,3849
2024-01-01,1,2024,5822300,5822300,19369400,3327
2024-02-01,2,2024,5813300,5813300,18357900,3158
2024-03-01,3,2024,5815700,5815700,18449100,3172
2024-04-01,4,2024,5814700,5814700,18474800,3177
2024-05-01,5,2024,5819100,5819100,18512700,3181
2024-06-01,6,2024,5819700,5819700,18570200,3191
2024-07-01,7,2024,5824800,5824800,18657300,3203
2024-08-01,8,2024,5835400,5835400,18687700,3202
2024-09-01,9,2024,5835100,5835100,18639100,3194
2024-10-01,10,2024,5835100,5835100,18639000,3194
2024-11-01,11,2024,5835000,5835000,18643100,3195
2024-12-01,12,2024,5835000,5835000,18643000,3195
