Ano,Mês,Produção Prevista (toneladas)
2025,1,18585427.416666668
2025,2,18394005.0
2025,3,18458236.0
2025,4,18471725.916666668
2025,5,18521174.916666668
2025,6,18564412.916666668
2025,7,18588278.916666668
2025,8,18665037.450000003
2025,9,18640770.71666667
2025,10,18640770.71666667
2025,11,18642785.583333336
2025,12,18642785.583333336
2026,1,18585427.416666668
2026,2,18394005.0
2026,3,18458236.0
2026,4,18471725.916666668
2026,5,18521174.916666668
2026,6,18564412.916666668
2026,7,18588278.916666668
2026,8,18665037.450000003
2026,9,18640770.71666667
2026,10,18640770.71666667
2026,11,18642785.583333336
2026,12,18642785.583333336
2027,1,18585427.416666668
2027,2,18394005.0
2027,3,18458236.0
2027,4,18471725.916666668
2027,5,18521174.916666668
2027,6,18564412.916666668
2027,7,18588278.916666668
2027,8,18665037.450000003
2027,9,18640770.71666667
2027,10,18640770.71666667
2027,11,18642785.583333336
2027,12,18642785.583333336
